,0
0,10
1,10
2,10
3,5
4,8
5,6
6,7
7,13
8,10
9,10
10,6
11,13
12,7
13,8
14,6
15,10
16,6
17,9
18,9
19,11
20,5
21,11
22,12
23,8
24,9
25,6
26,8
27,12
28,10
29,9
30,8
31,6
32,7
33,8
34,9
35,8
36,9
37,6
38,5
39,7
40,6
41,7
42,7
43,7
44,7
45,11
46,8
47,6
48,12
49,5
50,9
51,7
52,8
53,8
54,5
55,11
56,9
57,9
58,12
59,11
60,7
61,9
62,10
63,7
64,6
65,6
66,11
67,12
68,10
69,6
70,14
71,7
72,8
73,10
74,8
75,9
76,9
77,8
78,9
79,10
80,7
81,8
82,10
83,11
84,4
85,6
86,6
87,6
88,10
89,5
90,10
91,5
92,10
93,7
94,6
95,3
96,10
97,9
98,10
99,8
100,7
101,13
102,10
103,8
104,5
105,9
106,13
107,10
108,7
109,6
110,13
111,8
112,10
113,10
114,9
115,10
116,5
117,9
118,5
119,9
120,9
121,8
122,10
123,12
124,10
125,7
126,8
127,5
128,7
129,10
130,8
131,4
132,6
133,11
134,10
135,8
136,7
137,4
138,9
139,12
140,9
141,11
142,10
143,10
144,4
145,6
146,5
147,6
148,10
149,13
150,11
151,9
152,8
153,10
154,8
155,7
156,9
157,7
158,6
159,9
160,4
161,12
162,10
163,5
164,10
165,6
166,10
167,10
168,10
169,8
170,6
171,5
172,11
173,8
174,9
175,9
176,12
177,8
178,9
179,9
180,9
181,6
182,10
183,8
184,9
185,5
186,9
187,7
188,8
189,4
190,9
191,11
192,11
193,6
194,14
195,7
196,4
197,11
198,6
199,12
200,8
201,8
202,6
203,13
204,6
205,13
206,9
207,13
208,5
209,5
210,6
211,8
212,8
213,5
214,6
215,8
216,11
217,12
218,6
219,9
220,6
221,8
222,7
223,11
224,11
225,6
226,11
227,9
228,13
229,9
230,7
231,11
232,4
233,13
234,9
235,9
236,7
237,7
238,9
239,8
240,7
241,6
242,9
243,8
244,8
245,5
246,12
247,12
248,5
249,7
250,6
251,8
252,5
253,11
254,7
255,9
256,10
257,11
258,10
259,8
260,9
261,10
262,8
263,8
264,11
265,3
266,11
267,7
268,6
269,9
270,4
271,11
272,5
273,11
274,10
275,12
276,5
277,11
278,8
279,7
280,8
281,8
282,7
283,9
284,8
285,9
286,7
287,11
288,9
289,12
290,4
291,8
292,5
293,5
294,9
295,5
296,11
297,7
298,6
299,11
300,10
301,7
302,5
303,5
304,13
305,9
306,4
307,7
308,8
309,5
310,5
311,10
312,8
313,6
